symbol,timestamp,strike,expiry,put_option_type,put_days_to_expiry,put_identifier,put_open_interest,put_change_in_oi,put_p_change_in_oi,put_total_traded_volume,put_nse_implied_volatility,put_price,put_price_change,put_p_price_change,put_total_buy_qty,put_total_sell_qty,put_bid_qty,put_bid_price,put_ask_qty,put_ask_price,put_spot_price,call_option_type,call_days_to_expiry,call_identifier,call_open_interest,call_change_in_oi,call_p_change_in_oi,call_total_traded_volume,call_nse_implied_volatility,call_price,call_price_change,call_p_price_change,call_total_buy_qty,call_total_sell_qty,call_bid_qty,call_bid_price,call_ask_qty,call_ask_price,call_spot_price,forward,moneyness,f_minus_k,otm_option_type,close_option,days_to_expiry,rf_rate,implied_volatility,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
NIFTY,2023-01-10 14:07:00,16300.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE16300.00,1553.0,22,1.4369693011103855,609,23.01,5.0,0.5499999999999998,12.359550561797748,18200,9450,1150,4.8,50,4.9,17914.25,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE16300.00,98.0,0,0.0,4,31.72,1708.75,-26.950000000000045,-1.552687676441784,4850,5250,100,1660.1,50,1693.05,17914.25,17984.95,0.09837,1684.9500000000007,PE,5.0,15.057638888888889,0.09391822071254033,0.22953388683267353,2.1333212053536794,2.0867005024053427,-0.016385584092597057,4.86956e-05,-1.1412,1.4915,-12.36358352003683,-0.0037118526,-1.0311,28.926
NIFTY,2023-01-10 14:07:00,16300.0,2023-02-23 15:30:00,PE,44.057638888888896,OPTIDXNIFTY23-02-2023PE16300.00,1800.0,147,8.892921960072595,1123,19.97,31.55,6.199999999999999,24.457593688362913,12050,4500,50,31.6,50,32.1,17911.5,CE,44.057638888888896,OPTIDXNIFTY23-02-2023CE16300.00,11.0,9,450.0,13,0.0,1794.6,-67.05000000000018,-3.601643703166556,4450,4450,250,1704.65,50,1776.95,17911.5,18044.9,0.101698,1744.9000000000015,PE,31.55,44.057638888888896,0.06112598516275872,0.19213817504850808,1.5568492099981177,1.490095126339593,-0.059313893179450544,9.7849e-05,-1.6232,7.3894,-133.00141503960572,-0.0091409016,-0.7239,89.2184
NIFTY,2023-01-10 14:07:00,16400.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE16400.00,2829.0,112,4.122193595877806,701,22.08,5.35,1.0999999999999996,25.88235294117646,32700,9250,900,5.35,50,5.5,17911.5,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE16400.00,165.0,0,0.0,4,41.37,1677.45,-108.39999999999986,-6.069938684659959,5050,3300,200,1545.65,100,1594.8,17914.25,17984.95,0.092254,1584.9500000000007,PE,5.35,15.057638888888889,0.09391822071254033,0.2193935368322249,2.092561047401539,2.0479999542637035,-0.018123821751608763,5.55284e-05,-1.1889,1.6256,-13.667629153345178,-0.0041541926,-1.1029,31.7546
NIFTY,2023-01-10 14:07:00,16500.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE16500.00,16940.0,603,3.691008141029565,5058,20.92,5.65,1.4000000000000004,32.941176470588246,49600,42750,1500,5.6,100,5.75,17911.5,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE16500.00,2863.0,-30,-1.0369858278603525,74,0.0,1470.0,-209.29999999999995,-12.463526469362233,7300,8300,350,1478.1,100,1489.4,17914.25,17984.95,0.086175,1484.9500000000007,PE,5.65,15.057638888888889,0.09391822071254033,0.20871217335377887,2.0540258975168557,2.01163429961427,-0.019909304714502005,6.32251e-05,-1.2251,1.7608,-15.004861642679446,-0.004646004,-1.1734,34.8599
NIFTY,2023-01-10 14:07:00,16500.0,2023-02-23 15:30:00,PE,44.057638888888896,OPTIDXNIFTY23-02-2023PE16500.00,9728.0,1052,12.125403411710465,4488,19.4,43.3,10.699999999999996,32.82208588957054,28750,22200,250,42.95,150,43.35,17914.25,CE,44.057638888888896,OPTIDXNIFTY23-02-2023CE16500.00,719.0,16,2.275960170697013,36,0.0,1522.0,-227.75,-13.0161451635948,7650,4850,100,1569.4,50,1582.7,17914.25,18044.9,0.089503,1544.9000000000015,PE,43.3,44.057638888888896,0.059861302233963326,0.18748170529427627,1.4066516958441277,1.34151539777896,-0.07919107184820666,0.0001252945,-1.9787,9.2327,-177.71366681796363,-0.0105377108,-0.8136,92.9291
NIFTY,2023-01-10 14:07:00,16500.0,2023-03-29 15:30:00,PE,78.05763888888889,OPTIDXNIFTY29-03-2023PE16500.00,1502.0,271,22.014622258326565,762,18.73,83.05,12.849999999999994,18.304843304843295,4850,3500,100,83.55,50,84.7,17914.25,CE,78.05763888888889,OPTIDXNIFTY29-03-2023CE16500.00,2.0,0,0.0,1,0.0,1715.0,-103.0,-5.665566556655666,2850,2600,800,1577.9,250,1686.45,17914.25,18128.35,0.094117,1628.3499999999985,PE,83.05,78.05763888888889,0.05537635857757162,0.17463991464799716,1.2057447566628894,1.1249831810015016,-0.11261636252561051,0.0001301699,-1.8086,15.9769,-454.3613010625137,-0.0122765495,-0.495,124.0941
NIFTY,2023-01-10 14:07:00,16500.0,2023-01-12 15:30:00,PE,2.057638888888889,OPTIDXNIFTY12-01-2023PE16500.00,70664.0,-1785,-2.4638021228726417,81773,44.26,1.05,0.0,0.0,1236150,136450,51400,1.0,49000,1.05,17911.5,CE,2.057638888888889,OPTIDXNIFTY12-01-2023CE16500.00,112.0,3,2.7522935779816513,69,0.0,1420.2,-184.79999999999995,-11.514018691588781,14500,13000,400,1421.35,400,1423.7,17914.25,17931.2,0.083182,1431.2000000000007,PE,1.05,2.057638888888889,0.14958591730379348,0.43878472061080953,2.5413414132052297,2.5083964032133697,-0.005516747398433001,2.67127e-05,-2.2672,0.2125,-0.563579367602882,-0.0009021137,-3.51,3.0865
NIFTY,2023-01-10 14:07:00,16700.0,2023-02-23 15:30:00,PE,44.057638888888896,OPTIDXNIFTY23-02-2023PE16700.00,3658.0,325,9.750975097509752,1091,18.77,56.0,15.399999999999999,37.93103448275861,18650,9400,100,56.25,50,57.05,17911.5,CE,44.057638888888896,OPTIDXNIFTY23-02-2023CE16700.00,1.0,0,0.0,1,15.36,1436.6,-47.850000000000136,-3.2234160800296494,4250,4000,200,1358.25,250,1412.65,17911.5,18044.9,0.077454,1344.9000000000015,PE,56.0,44.057638888888896,0.06112598516275872,0.18016718660218387,1.2686860599177254,1.2060910267134866,-0.10152468192559111,0.000156783,-2.2869,11.1023,-227.8928208968805,-0.0118548937,-0.8785,94.2911
NIFTY,2023-01-10 14:07:00,16800.0,2023-02-23 15:30:00,PE,44.057638888888896,OPTIDXNIFTY23-02-2023PE16800.00,14139.0,643,4.764374629519858,1716,18.42,64.8,17.75,37.725823591923486,22900,10600,50,64.0,50,64.8,17911.5,CE,44.057638888888896,OPTIDXNIFTY23-02-2023CE16800.00,1.0,0,0.0,1,18.53,1377.55,-16.700000000000045,-1.1977765823919704,4250,4000,200,1269.65,250,1323.0,17914.25,18044.9,0.071484,1244.9000000000015,PE,64.8,44.057638888888896,0.059861302233963326,0.1773656241245924,1.1908602714775438,1.1292385780895935,-0.11601292165531293,0.0001752819,-2.4774,12.2192,-260.5128664724672,-0.0124091294,-0.9048,92.6447
NIFTY,2023-01-10 14:07:00,16800.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE16800.00,15398.0,2620,20.503991234935043,20567,18.58,9.1,3.0,49.180327868852466,54700,26700,1400,9.1,900,9.2,17911.5,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE16800.00,172.0,0,0.0,1,29.97,1249.85,123.54999999999995,10.96954630205096,5750,6200,50,1183.4,50,1193.9,17914.25,17984.95,0.068156,1184.9500000000007,PE,9.1,15.057638888888889,0.09391822071254033,0.18548560356721838,1.8279450314769372,1.7902709897725675,-0.03364827828321121,0.0001103326,-1.6885,2.7308,-25.3406629131173,-0.0072154572,-1.6189,48.1802
